Z,gridx
-10,6.1999998092651367
-12,6.3000001907348633
-13,6.4000868797302246
-14,6.6092734336853027
-15,6.500030517578125
-16,6.6004018783569336
-17,6.6538634300231934
-18,6.7428727149963379
-19,6.8043832778930664
-20,6.8916869163513184
-21,6.9735593795776367
-22,7.047515869140625
-23,7.1237015724182129
-24,7.219545841217041
-25,7.307157039642334
-26,7.3946266174316406
-27,7.5034613609313965
-28,7.5967025756835938
-29,7.7000036239624023
-30,7.8154191970825195
-31,7.9074106216430664
-32,8.0120010375976562
-33,8.1296367645263672
-34,8.2464408874511719
-35,8.342315673828125
-36,8.471435546875
-37,8.5931377410888672
-38,8.7250251770019531
-39,8.8577213287353516
-40,9.0000209808349609
-41,9.1259870529174805
-42,9.2750120162963867
-43,9.4429006576538086
-44,9.5857563018798828
-45,9.7461566925048828
-46,9.9166975021362305
-47,10.091753005981445
-48,10.258387565612793
-49,10.416719436645508
-50,10.616669654846191
-51,10.766695022583008
-52,10.991716384887695
-53,11.208410263061523
-54,11.400017738342285
-55,11.633338928222656
-56,11.857220649719238
-57,12.088970184326172
-58,12.300101280212402
